Accession,Gene,protein length,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.40,prot.41,prot.42,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7,RNA.8,RNA.9,RNA.10,RNA.11,RNA.12,RNA.13,RNA.14,RNA.15,RNA.16,RNA.17,RNA.18,RNA.19,RNA.20,RNA.21,RNA.22,RNA.23,RNA.24,RNA.25,RNA.26,RNA.27,RNA.28,RNA.29,RNA.30,RNA.31,RNA.32,RNA.33,RNA.34,RNA.35,RNA.36,RNA.37,RNA.38,RNA.39,RNA.40,RNA.41,RNA.42,GR.cluster,NM.cluster,GR.Pearson.r,NM.Pearson.r,all.Pearson.r,GR.Spearman.rho,NM.Spearman.rho,all.Spearman.rho
O43137,YBR085C-A,85,221.5506231,0,0,205.708565,0,122.711037,0,105.1280076,96.04201129,0,96.70427673,0,109.0026982,0,120.1278042,0,0,0,0,0,241.7144381,226.4919349,0,0,0,0,201.9744373,87.23777603,0,159.9864872,0,0,0,397.5415154,0,0,202.2711445,0,0,0,0,159.1006574,5.592206243,10.66483214,6.152562434,13.23244029,11.69604173,10.80672909,5.966244966,6.721441966,7.528078197,6.091724025,6.535131225,5.937990009,7.162041966,6.27127901,7.512504278,5.144247588,4.875265892,4.337786077,5.762588666,5.348033084,7.027899367,11.62668737,9.976441255,11.42759088,23.92115778,19.30989806,16.60288318,6.274933152,7.875247549,4.369935198,1.829767699,2.072944997,1.951533069,4.135943014,4.486232955,4.700902042,3.734407808,4.791847184,4.696497769,5.053580757,7.20632919,5.187187117,2,1,0.199256619,0.009270522,0.042604809,0.491825708,0.080925932,0.148426546
O60200,MDM35,86,1147.072165,996.856504,1233.89601,2711.161546,2906.558765,2561.832934,1177.298968,1283.508357,1117.202868,1718.85202,1280.471823,1454.586499,1698.134779,1748.399566,1863.957636,2492.571384,2735.654905,2383.644973,2486.988695,2484.976572,2778.219288,5172.965407,6690.579516,5305.064651,3820.445741,2404.237088,3086.795664,1052.128556,2118.91693,2384.141008,3738.725246,4086.798182,4292.250151,2426.370938,2345.492799,2657.759678,2476.919491,3593.342561,2088.22091,2508.046751,3005.868365,2004.420196,0.18114069,0.215467988,0.184586738,0.492151416,0.440449164,0.449769752,0.184899458,0.221638675,0.222979641,0.2664101,0.254200851,0.228816298,0.458676571,0.378509422,0.437274419,0.658048829,0.639719076,0.73056226,0.980513109,1.009183053,1.187325387,0.852999669,0.591055917,0.689698838,0.60577926,0.670539259,0.564778877,0.230545301,0.182480067,0.142878943,0.241739087,0.273073965,0.241099696,0.228810457,0.240001995,0.273840084,0.293186411,0.290220384,0.25522568,0.234245296,0.178539553,0.216887194,1,1,0.910675703,0.614732761,0.381241981,0.902992776,0.645299145,0.52564622
O74700,TIM9,87,2208.453009,1689.748183,2720.468653,3335.615875,2671.839637,1616.092144,1688.702855,1887.89713,4360.579984,3912.765524,2964.780942,3383.030807,3391.562219,3501.289228,2994.936187,7232.476427,6901.579723,8057.257175,6893.095189,11935.08529,12227.32699,2820.426738,2257.897668,4639.181975,4736.149374,2942.285218,3562.837233,4832.244888,11254.56581,6004.78359,3900.844997,5382.661235,3447.119485,7864.569268,11282.57415,6533.744857,3019.049126,2985.523514,3976.732318,21978.85317,7813.59645,15865.75822,0.586891245,0.421442958,0.643956704,1.327934096,1.287239379,1.315548201,0.618113992,0.664894288,0.698178346,0.839147665,0.715190006,0.734998063,1.329545895,1.302398199,1.192956624,2.294627605,2.245525074,2.507894323,3.428372144,3.304523462,3.99668182,2.088282251,1.538801482,1.848022205,1.68201473,1.482668891,1.336317025,0.738994035,0.510046078,0.486641631,0.584968023,0.612499937,0.535915516,0.661864554,0.719633732,0.728050929,0.903470313,1.143444623,0.973541908,0.796617555,0.500220789,0.677355038,1,1,0.93387528,-0.348805873,0.208653725,0.902992776,-0.413919414,0.137671177
O75012,MRP10,95,317.3123718,266.050068,410.8340013,934.8076424,992.0848496,874.465561,297.6098139,316.9755881,304.041116,414.3751635,386.6496805,399.9836435,602.9417004,528.8725074,555.226194,1035.462326,923.4697228,947.6801123,938.3766965,948.6478241,1241.548696,1660.679669,1984.364159,1736.634286,1133.89057,645.9330707,751.4457559,262.9027596,530.3457596,620.4615047,1196.244901,1387.892513,1179.371889,662.9892706,553.8262161,723.6202247,785.7977052,1012.183375,707.5722623,684.9788589,716.2743906,748.1124409,0.24660489,0.222582895,0.264055355,0.675266182,0.649749907,0.649507149,0.273717058,0.307615223,0.283179236,0.34217675,0.319891155,0.314566269,0.570346201,0.564073025,0.511005983,0.925133591,0.88545273,0.970088278,1.411080896,1.403889744,1.693361322,1.151032453,0.960333919,1.03064493,0.828314354,0.933119909,1.001730983,0.295584015,0.235163156,0.21731457,0.353404922,0.362228838,0.305253903,0.304041838,0.389471474,0.333048385,0.42084012,0.598201847,0.438751482,0.325746334,0.229347656,0.30600468,1,1,0.944323265,0.646421866,0.593350743,0.927760578,0.661172161,0.686897334
P00044,CYC1,109,579.716535,442.7050545,686.233758,1434.616252,1561.376441,1288.849588,573.5824825,515.6125876,975.9629484,1037.051207,882.1553337,880.9452456,1125.896722,1161.875253,910.4860997,1812.098212,1938.721987,1355.300378,1942.323265,1484.007605,2521.9099,2183.300903,3033.044903,3214.649287,2110.92434,1261.938661,1520.102851,754.8319047,1244.126142,1247.04356,3076.892687,4020.189079,3237.61899,1504.225008,1331.010578,1649.394694,1205.579287,1789.319189,1167.691015,1715.939354,1890.280266,1570.485115,0.89333661,0.720484221,0.793850071,3.129348083,3.079210331,3.198254108,1.122920377,1.197273388,1.51137174,1.921667028,1.829950269,1.702058341,3.569891503,3.84278502,3.206303459,5.580267628,6.043431233,6.140567063,10.672102,8.924683473,11.11239447,5.939344489,4.41161921,4.818283697,3.509905647,4.122370342,3.962484663,1.544155528,0.979669316,1.182225946,2.87556167,3.149871348,2.973630799,2.1935531,2.26637246,2.503528228,2.183568057,2.893397316,2.502527529,1.906070128,1.239887833,1.565067263,1,1,0.913963809,0.542417617,0.407598128,0.946336429,0.606227106,0.616724739
P00128,QCR7,127,5833.172066,6538.922385,5642.50355,6551.390784,6171.111271,9221.598718,5780.50454,6344.78099,6637.651179,12064.75832,10425.47119,10427.75599,10021.71718,10312.94232,10565.2739,13245.7438,15031.00904,14503.81136,15628.02127,20368.53474,15622.66862,7992.097492,8611.939911,12452.34914,13243.65483,9375.671516,12176.29498,12760.84725,15515.82722,14402.75862,16304.29982,18846.88621,15774.09927,16256.33239,18173.89317,20373.38333,10114.63607,11632.81656,10950.9455,24842.47381,21070.41227,21375.43753,3.115650918,3.970815587,3.602513021,8.084799744,7.755101008,7.054502964,3.886487674,4.385754587,5.000789831,5.435030788,5.58195248,5.287919574,9.374919428,8.47642503,9.062914077,10.563899,9.609978563,9.52232091,12.95852028,12.29225262,16.1149104,11.21457565,9.787833849,10.44740682,9.050685045,8.572776019,8.490437037,4.968117471,3.790254618,3.20926017,4.53232858,4.694659036,4.500238912,4.814781033,5.38080887,5.856808586,6.121598628,7.568204424,6.612679325,5.257922706,4.205035662,4.707025316,3,1,0.855843515,-0.40743368,0.046470225,0.921568627,-0.352258852,0.060529941
P00175,CYB2,591,124.7553214,114.2624722,104.3388386,396.1082119,392.0424586,324.0148803,29.1335564,35.38845678,52.48332247,49.20190133,47.71141454,55.91667084,76.24288326,63.23046241,71.55818,141.2257874,135.7533455,116.4235162,124.1458597,139.6560803,146.8774582,358.0090826,409.9385182,315.0588455,273.4211086,193.4067882,233.8532941,79.2814253,128.2053612,111.6015337,628.3942046,767.87334,663.6830229,126.9821097,144.2191941,152.4367137,221.2588428,243.9349861,239.7341673,159.0888046,150.0780962,117.3427433,0.342937319,2.430091375,0.291649225,1.846106459,1.712379008,1.690175551,0.132461631,0.156814986,0.16580832,0.168538995,0.15828958,0.16739137,0.349740204,0.304116059,0.30892852,0.490218806,0.568063454,0.577993444,0.864102087,0.811373295,0.923032002,2.69316972,2.295497482,2.841673038,1.062142865,1.351740922,1.505499514,0.141616491,0.22297138,0.108264553,0.857531404,1.018542799,1.02356807,0.3073226,0.298763746,0.392900249,0.451775567,0.705051859,0.684811402,0.175554581,0.283028203,0.170032206,3,1,0.528352767,0.52322615,0.520956749,0.865841073,0.845543346,0.770034843
P00330,ADH1,348,60725.13718,47727.60075,40142.65833,155554.131,167002.1071,112863.3234,32936.70848,40912.49876,48209.79595,49971.38554,46321.52091,42345.02522,41931.60651,36490.8939,44700.06824,59133.32305,59562.39694,62081.21159,78883.94857,80508.38518,97845.88934,257155.2889,334928.6304,330740.1816,131061.3488,68907.86489,82843.95331,37960.0504,60444.71157,60708.72211,74022.0224,94536.86466,77553.40901,62749.67328,57846.32907,57184.32713,83732.5755,116198.0322,94125.8777,119741.5782,106353.8017,95748.69848,2.209000853,1.419869643,2.55962314,3.14575544,2.784324751,2.803994241,2.122609913,2.444733014,2.370468608,1.987546106,1.771514434,1.94227803,2.584017752,2.780931487,2.377262104,3.384731116,3.347056448,4.661643084,5.999138999,6.81787367,7.86332798,4.779169066,3.790295537,4.371747975,7.362428541,8.779201263,9.03482223,2.569152882,2.446194297,1.630082247,0.6801223,0.677222023,0.554753907,1.68694282,1.778120185,1.714588368,1.862739168,2.235614185,1.771428827,1.625642642,1.799247378,2.073748005,3,1,0.900475655,0.24783519,0.216955478,0.523219814,0.328449328,0.232801232
P00331,ADH2,348,32318.84808,32892.18821,26030.76969,341419.4815,325144.8563,267036.7392,6513.396696,12233.0332,19986.85837,12270.60692,15694.46485,13498.01483,12817.22384,10980.63817,14878.75571,18306.95389,20385.22653,13476.31384,21847.33336,16600.63876,30920.41495,483191.9774,551651.5274,552069.6746,110418.3494,61348.07429,54843.60615,13057.79477,20174.29291,19989.0285,137475.4521,169346.2056,144445.9956,23283.05254,20605.39856,11761.19173,69255.60447,139475.353,70367.81114,92676.11733,87281.99561,65075.62217,1.165771262,3.769400965,1.441121018,8.538281722,7.095477154,6.994935709,0.073785234,0.085495513,0.092705168,0.059685184,0.045866402,0.046187324,0.071026268,0.074417545,0.066972102,0.077155397,0.07867457,0.098323176,0.106506604,0.108523831,0.162795881,14.3444482,11.52972531,13.59051119,6.704084881,7.527256658,7.743859229,0.06207502,0.128919054,0.048541663,2.412301312,2.481272595,2.431437977,0.191295563,0.145434207,0.145153754,0.849867366,1.232481632,1.648018688,0.052019104,0.098254811,0.065480092,2,1,0.663009853,0.873886104,0.886030648,0.700722394,0.753968254,0.759987035
P00359,TDH3,332,120842.3096,94855.62644,77949.36778,76969.83665,74912.90141,74244.08024,66167.75545,60614.49739,169321.3562,131165.5745,109506.2662,102626.4489,88793.37574,100326.3667,80154.5145,172814.6082,175599.3818,173147.0824,236771.2078,325700.2771,252782.6047,62349.7737,88484.66839,112969.4751,133117.9604,126127.4515,147318.2245,109740.6007,161157.1725,132060.4515,98883.90832,94184.00136,91210.15777,139132.1429,142421.9039,152666.9238,99616.15301,108541.5564,158167.0389,292191.3596,222566.9382,259773.8997,6.482370016,9.794605019,6.809907873,13.9722363,12.40297659,13.19850748,5.030682552,5.92255575,5.790767723,5.054089989,4.820099285,4.934406049,6.587782089,6.806733867,6.072264009,8.195772448,7.831852443,10.56359018,15.17937823,15.63274855,18.22562253,19.31083097,14.41447223,17.18156312,16.98513002,17.29847745,16.688973,5.723994675,6.089746156,4.439331914,2.778591975,2.883252811,2.544036332,3.907324533,3.941658468,4.230245915,5.019148218,6.181136536,5.344531602,4.854889816,6.126102975,5.31222255,3,1,0.833673679,-0.272749814,0.120142213,0.585139319,-0.177655678,0.02390406
P00360,TDH1,332,89806.89455,69079.36351,57644.94459,61373.62139,55816.78206,56320.77528,46321.23713,41556.0887,143039.1442,95318.53791,81139.31135,73775.95814,57801.61176,67332.38308,61886.06518,120781.783,129284.5332,117642.7441,158103.2075,202274.8232,168711.1673,44461.55118,61611.18566,85520.95774,100513.8085,100993.1148,124904.976,87266.41899,130883.392,98153.07293,60135.38172,68921.84187,65085.77698,104776.1031,116771.1053,114930.9792,73239.01718,78229.10153,127690.7066,241915.2596,169901.3789,196774.438,0.682359814,1.709555885,0.664503742,2.421260556,2.031840948,2.138510156,0.270796133,0.35270024,0.339087154,0.2129866,0.210694401,0.256566111,0.180831158,0.171357293,0.212021957,0.108400585,0.11197821,0.133410292,0.155863442,0.172185905,0.215845947,2.701917779,2.147434725,2.605292083,4.124371038,4.626547173,5.268275927,0.28639861,0.566505942,0.231012308,0.286270259,0.302802237,0.274655033,0.551275513,0.570175954,0.651712745,0.509300683,0.619615801,0.608611865,0.544188998,1.041008598,0.501916012,2,1,-0.28757373,-0.097975547,-0.129352523,-0.438596491,0.043345543,-0.185965481
P00424,COX5A,153,4299.890088,3440.750073,3566.777029,5922.177599,6165.299609,6059.866853,4049.854947,2704.841252,4512.803386,6438.07117,5146.736028,6094.752106,6788.245297,5940.542464,7069.287933,6351.671366,6664.091851,5527.975743,5486.968443,5122.351466,4233.020016,4644.676022,4667.434215,5429.717563,7035.28861,5360.702275,6053.447512,4191.893957,7364.374722,8038.450105,10633.95182,12338.95743,12672.93069,8284.317038,7456.612952,9231.258379,5686.985371,6861.588542,5091.583352,9385.090406,9495.265047,8817.769417,2.496167168,2.765761467,3.048257695,6.255432758,5.878587743,5.621072024,3.347667177,3.656970698,4.304015972,4.398671166,4.340862839,4.410064799,7.032694249,6.804658834,6.436325619,6.987689419,8.080033197,7.925718476,12.69331939,10.80042416,12.84071236,8.827861722,7.070348876,7.761090832,6.53400306,6.575641894,6.608491944,4.297387662,3.388894662,2.900724467,4.033355714,4.22650294,4.22027372,4.668157515,4.963289895,5.018901547,4.712541786,6.025420962,5.395076329,3.920293775,4.063897211,3.924879144,3,1,0.327664293,-0.346867126,-0.210263468,0.496388029,-0.30952381,-0.102503849
P00425,COX5B,151,274.0827623,246.2627698,268.0956839,145.5922174,196.02638,131.3646196,277.4459876,253.3126477,235.0520214,418.8252504,378.1169031,381.4131114,339.9209598,325.7552795,379.66084,320.1947048,331.021927,267.3206199,425.320054,233.4776535,348.6615181,89.5636075,159.7928627,295.6461524,304.5477339,197.9250681,210.1982519,245.2597028,518.9429136,506.0538319,287.2260722,328.1103375,311.5407937,530.6879761,530.1922697,530.5692399,221.6821661,265.6269882,247.7622709,687.5590508,530.3099133,731.303551,0.15597666,0.266069349,0.198944834,0.203581377,0.202207912,0.184880709,0.179121577,0.202761358,0.254569056,0.252392363,0.263649888,0.233176564,0.367369742,0.337386397,0.356630164,0.315655295,0.306478501,0.323046119,0.369991365,0.375608466,0.427692496,0.242702599,0.227512421,0.263405344,0.276407658,0.31997726,0.26481689,0.207421104,0.20658738,0.152639403,0.09570344,0.09716444,0.093044042,0.213278558,0.230331693,0.214960152,0.18015235,0.246780958,0.224448489,0.267775517,0.190601326,0.25479203,3,2,0.323924972,0.026355528,0.034052334,0.197110423,-0.005494505,0.112065473
